Date,Open,High,Low,Close,Volume
2004-01-01,896.32,896.57,887.89,888.79,0
2004-01-02,888.74,907.65,888.15,907.43,0
2004-01-05,904.62,914.65,901.99,904.8,0
2004-01-06,904.77,916.1,902.57,913.63,0
2004-01-07,914.18,914.4,899.94,904.17,0
2004-01-08,903.89,909.79,896.04,906.97,0
2004-01-09,906.89,920.48,898.77,916.21,0
2004-01-12,919.31,920.99,901.66,907.37,0
2004-01-13,907.34,921.09,907.17,916.65,0
2004-01-14,916.76,919.3,882.52,910.1,0
2004-01-15,910.43,920.35,903.3,906.23,0
2004-01-16,906.15,915.91,896.73,905.39,0
2004-01-19,903.95,904.08,883.51,895.75,0
2004-01-20,896.02,912.21,889.93,903.3,0
2004-01-21,903.72,919.31,903.72,916.22,0
2004-01-22,916.05,926.93,909.01,923.67,0
2004-01-23,923.62,923.84,904.62,905.78,0
2004-01-26,916.05,918.19,901.28,903.46,0
2004-01-27,903.79,916.42,895.95,909.52,0
2004-01-28,909.63,912.75,897.43,905.16,0
2004-01-29,905.13,907.25,879.35,882.43,0
2004-01-30,882.27,899.45,873.81,884.46,0
2004-02-02,894.99,895.86,876.22,878.79,0
2004-02-03,890.6,894.83,878.48,891.6,0
2004-02-04,891.57,894.83,878.48,890.62,0
2004-02-05,890.6,891.11,878.53,882.89,0
2004-02-06,882.73,900.55,880.02,897.96,0
2004-02-09,899.35,906.67,894.01,895.63,0
2004-02-10,895.66,910.61,893.82,909.35,0
2004-02-11,908.79,916.66,892.05,913.73,0
2004-02-12,913.73,916.1,902.74,914.89,0
2004-02-13,914.72,918.69,902.0,915.91,0
2004-02-16,916.88,917.68,906.83,908.45,0
2004-02-17,908.34,925.73,907.78,923.01,0
2004-02-18,919.86,921.71,903.03,907.46,0
2004-02-19,907.46,921.35,907.29,909.71,0
2004-02-20,909.71,920.73,888.15,892.27,0
2004-02-23,903.8,913.46,900.95,912.53,0
2004-02-24,912.64,921.7,895.84,919.5,0
2004-02-25,919.7,920.21,893.52,895.09,0
2004-02-26,894.65,908.05,889.55,898.53,0
2004-02-27,898.75,908.54,892.53,907.51,0
2004-03-01,905.55,914.63,900.26,909.47,0
2004-03-02,909.3,911.48,879.25,883.17,0
2004-03-03,882.84,890.09,863.24,866.16,0
2004-03-04,866.21,882.96,865.57,870.46,0
