Date,Open,High,Low,Close,Volume
2004-01-01,917.99,921.26,912.27,912.27,0
2004-01-02,912.19,928.61,911.63,926.09,0
2004-01-05,925.1,932.21,915.31,920.11,0
2004-01-06,920.05,928.08,913.07,924.12,0
2004-01-07,924.24,924.49,909.36,912.99,0
2004-01-08,912.82,918.44,903.74,915.41,0
2004-01-09,915.6,931.49,907.56,931.09,0
2004-01-12,929.56,930.41,910.49,915.82,0
2004-01-13,915.65,928.68,913.35,924.54,0
2004-01-14,924.32,927.54,901.77,910.6,0
2004-01-15,911.21,921.08,904.42,906.65,0
2004-01-16,906.42,917.29,900.79,912.87,0
2004-01-19,913.97,914.48,898.95,911.81,0
2004-01-20,912.16,920.14,902.83,910.91,0
2004-01-21,911.22,922.15,901.69,910.65,0
2004-01-22,910.51,918.01,901.17,917.28,0
2004-01-23,917.17,917.59,889.54,894.33,0
2004-01-26,902.92,904.69,888.71,894.77,0
2004-01-27,894.72,902.88,884.79,893.92,0
2004-01-28,893.87,897.58,874.65,886.38,0
2004-01-29,886.62,886.73,868.14,870.72,0
2004-01-30,870.77,884.46,862.25,875.47,0
2004-02-02,882.59,883.81,864.6,866.47,0
2004-02-03,876.48,877.56,861.51,873.67,0
2004-02-04,874.43,877.56,861.51,876.3,0
2004-02-05,876.48,876.9,862.61,865.35,0
2004-02-06,865.07,883.46,862.15,883.09,0
2004-02-09,881.44,882.6,866.56,867.87,0
2004-02-10,867.95,878.43,866.03,875.81,0
2004-02-11,875.56,884.27,860.95,882.91,0
2004-02-12,882.44,882.86,868.97,878.69,0
2004-02-13,878.74,881.27,869.29,880.79,0
2004-02-16,880.4,880.98,869.02,871.15,0
2004-02-17,871.22,885.41,871.02,882.99,0
2004-02-18,880.16,880.27,863.31,867.26,0
2004-02-19,866.77,878.93,862.34,863.41,0
2004-02-20,863.56,878.3,855.98,866.77,0
2004-02-23,876.63,885.84,869.95,883.44,0
2004-02-24,883.12,888.66,868.5,887.74,0
2004-02-25,888.03,888.03,865.76,867.97,0
2004-02-26,867.4,878.85,860.69,867.61,0
2004-02-27,867.61,878.67,861.91,878.67,0
2004-03-01,875.67,883.41,871.31,879.94,0
2004-03-02,879.78,880.2,854.69,865.29,0
2004-03-03,865.39,874.46,858.06,862.29,0
2004-03-04,862.55,875.84,862.12,869.98,0
2004-03-05,869.82,890.47,863.48,889.28,0
2004-03-08,889.49,891.29,875.03,877.37,0
2004-03-09,877.37,894.72,873.56,891.43,0
2004-03-10,877.37,894.72,871.25,874.7,0
2004-03-11,874.65,885.21,869.29,882.15,0
2004-03-12,882.15,893.72,872.2,882.35,0
2004-03-15,882.29,883.06,867.71,877.36,0
2004-03-16,877.2,879.03,866.81,878.27,0
2004-03-17,878.22,880.53,857.46,876.82,0
2004-03-18,876.88,876.88,855.42,873.41,0
2004-03-19,873.68,877.31,856.79,877.31,0
2004-03-22,876.77,879.89,859.61,872.14,0
2004-03-23,872.24,874.74,861.95,873.2,0
2004-03-24,873.2,883.73,858.57,883.73,0
2004-03-25,883.62,890.53,852.4,889.54,0
2004-03-26,889.32,897.66,861.1,897.66,0
2004-03-29,898.72,902.79,863.85,901.54,0
2004-03-30,901.54,903.19,870.28,902.34,0
2004-03-31,902.39,902.85,861.69,890.2,0
2004-04-01,890.47,891.52,856.08,888.22,0
2004-04-02,888.05,901.66,840.77,900.81,0
2004-04-05,902.05,910.12,857.71,909.48,0
2004-04-06,909.48,911.39,862.67,902.68,0
2004-04-07,902.68,906.55,858.31,863.53,0
2004-04-08,863.48,863.96,848.23,854.91,0
2004-04-09,854.91,855.23,851.45,851.87,0
2004-04-12,854.8,855.97,849.08,854.8,0
2004-04-13,854.8,863.39,841.34,856.02,0
2004-04-14,855.4,862.92,845.0,861.5,0
2004-04-15,861.5,864.14,846.15,857.21,0
2004-04-16,857.11,865.4,851.05,862.82,0
2004-04-19,861.87,863.36,846.33,859.12,0
2004-04-20,857.11,865.03,832.28,854.49,0
2004-04-21,854.65,856.15,831.38,852.76,0
2004-04-22,852.44,857.24,840.28,855.38,0
2004-04-23,855.33,857.29,834.86,849.81,0
2004-04-26,853.59,855.73,839.73,844.38,0
2004-04-27,844.44,855.23,841.31,852.11,0
2004-04-28,852.27,855.02,831.57,832.49,0
2004-04-29,832.49,855.84,832.49,852.18,0
2004-04-30,852.8,856.94,841.92,847.9,0
2004-05-03,846.71,848.21,840.86,845.02,0
2004-05-04,845.13,858.29,839.97,854.78,0
2004-05-05,854.78,854.78,839.76,850.03,0
2004-05-06,850.28,853.14,842.16,846.44,0
2004-05-07,846.64,852.13,811.6,837.95,0
2004-05-10,836.27,848.0,835.96,841.71,0
2004-05-11,841.6,857.66,841.05,854.73,0
2004-05-12,854.84,858.01,840.25,842.18,0
2004-05-13,841.83,855.36,838.5,851.51,0
2004-05-14,851.51,855.27,833.54,854.13,0
2004-05-17,851.59,856.39,844.14,845.18,0
2004-05-18,845.23,851.84,836.28,850.87,0
2004-05-19,850.92,853.27,836.65,852.4,0
2004-05-20,852.76,860.89,850.7,857.69,0
2004-05-21,857.69,860.49,846.46,855.05,0
2004-05-24,855.75,862.54,845.0,860.33,0
2004-05-25,860.49,860.91,847.8,859.88,0
2004-05-26,859.83,864.14,849.67,860.6,0
2004-05-27,860.4,862.3,845.7,861.32,0
2004-05-28,861.63,862.25,845.77,854.0,0
2004-05-31,853.51,855.87,849.91,850.74,0
2004-06-01,850.74,852.9,837.68,847.32,0
2004-06-02,847.32,856.9,845.25,856.28,0
2004-06-03,856.18,857.69,850.6,854.22,0
2004-06-04,854.37,863.31,814.96,861.85,0
2004-06-07,858.59,861.82,856.63,859.95,0
2004-06-08,859.9,863.45,853.28,853.9,0
2004-06-09,853.85,857.62,847.92,848.7,0
2004-06-10,848.91,854.53,847.72,852.86,0
2004-06-11,852.91,856.82,841.33,851.72,0
2004-06-14,855.56,856.14,841.04,843.92,0
2004-06-15,844.28,850.4,833.11,849.07,0
2004-06-16,849.07,851.37,838.99,841.58,0
2004-06-17,841.78,846.48,833.23,846.32,0
2004-06-18,846.32,850.82,835.98,849.28,0
2004-06-21,849.82,850.34,839.34,845.81,0
2004-06-22,845.91,853.05,844.17,849.89,0
2004-06-23,849.84,856.42,848.03,852.14,0
2004-06-24,851.89,861.18,844.31,855.03,0
2004-06-25,854.98,857.23,843.59,834.36,0
2004-06-28,852.05,857.81,844.0,854.33,0
2004-06-29,854.33,859.04,845.67,854.61,0
2004-06-30,854.5,866.82,842.32,866.45,0
2004-07-01,866.77,869.21,857.15,865.58,0
