Date,Open,High,Low,Close,Volume
2004-01-01,961.63,962.38,951.57,952.46,0
2004-01-02,952.55,965.38,952.25,964.82,0
2004-01-05,963.99,969.54,955.74,956.78,0
2004-01-06,956.72,967.24,954.26,964.42,0
2004-01-07,965.13,965.32,946.58,949.4,0
2004-01-08,949.49,956.17,937.59,954.4,0
2004-01-09,954.46,969.77,945.7,969.36,0
2004-01-12,969.46,969.64,949.41,951.46,0
2004-01-13,951.77,965.06,950.09,963.43,0
2004-01-14,963.52,964.29,935.98,953.82,0
2004-01-15,953.91,963.48,943.71,944.5,0
2004-01-16,944.59,954.08,926.5,937.92,0
2004-01-19,937.75,938.01,922.13,934.35,0
2004-01-20,934.35,951.84,927.16,944.55,0
2004-01-21,944.61,958.16,937.39,956.44,0
2004-01-22,956.44,964.59,948.13,963.83,0
2004-01-23,963.83,964.85,943.53,945.12,0
2004-01-26,954.81,954.99,935.17,935.65,0
2004-01-27,935.53,945.76,925.06,941.91,0
2004-01-28,941.7,943.88,926.19,934.95,0
2004-01-29,934.8,936.55,918.39,919.81,0
2004-01-30,919.93,935.06,915.67,922.35,0
2004-02-02,930.94,932.19,917.5,918.48,0
2004-02-03,935.0,936.48,921.82,936.18,0
2004-02-04,936.66,936.66,921.82,934.94,0
2004-02-05,935.0,935.59,921.8,927.7,0
2004-02-06,927.58,946.92,921.6,946.4,0
2004-02-09,945.38,948.6,931.68,933.01,0
2004-02-10,933.04,946.47,932.53,942.01,0
2004-02-11,941.89,945.16,924.99,944.86,0
2004-02-12,944.44,944.86,932.7,942.37,0
2004-02-13,942.31,943.3,925.69,936.07,0
2004-02-16,937.2,937.51,926.5,930.26,0
2004-02-17,930.15,947.18,928.49,943.94,0
2004-02-18,941.43,944.95,925.91,926.7,0
2004-02-19,926.55,938.87,925.0,928.65,0
2004-02-20,928.68,942.2,918.41,918.9,0
2004-02-23,929.29,940.4,926.55,939.78,0
2004-02-24,939.84,951.82,924.54,950.14,0
2004-02-25,949.8,950.5,919.56,920.32,0
2004-02-26,920.11,932.77,912.51,920.88,0
2004-02-27,920.53,929.86,912.46,929.86,0
2004-03-01,929.69,937.48,919.87,927.73,0
2004-03-02,927.52,928.49,887.72,896.39,0
2004-03-03,896.45,907.37,891.16,893.89,0
2004-03-04,893.98,906.87,889.82,897.65,0
2004-03-05,897.82,922.51,895.44,920.47,0
2004-03-08,921.05,921.46,906.42,909.19,0
2004-03-09,908.73,924.73,907.02,921.93,0
2004-03-10,908.73,924.73,892.22,899.66,0
2004-03-11,900.09,917.92,896.02,917.81,0
2004-03-12,917.1,926.3,907.4,916.82,0
2004-03-15,919.6,923.57,906.45,918.06,0
2004-03-16,918.12,918.79,904.95,915.75,0
2004-03-17,915.66,918.88,897.04,918.74,0
2004-03-18,918.74,923.31,899.6,922.13,0
2004-03-19,921.86,922.94,900.03,920.33,0
2004-03-22,920.68,926.26,903.29,925.79,0
2004-03-23,925.43,925.96,910.97,925.9,0
2004-03-24,925.64,927.22,902.65,926.41,0
2004-03-25,926.62,927.64,893.54,924.77,0
2004-03-26,924.65,925.25,887.57,922.34,0
2004-03-29,922.28,922.78,885.12,919.38,0
2004-03-30,919.38,920.38,890.4,920.06,0
2004-03-31,920.06,921.74,888.15,921.63,0
2004-04-01,921.74,922.4,888.65,919.56,0
2004-04-02,919.32,920.33,863.08,917.03,0
2004-04-05,917.12,917.85,864.35,916.57,0
2004-04-06,916.68,920.53,870.92,920.33,0
2004-04-07,920.74,920.74,875.98,885.72,0
2004-04-08,886.09,887.09,877.04,883.86,0
2004-04-09,884.21,884.83,883.04,883.69,0
2004-04-12,884.49,885.29,882.47,884.72,0
2004-04-13,884.41,895.23,864.92,878.81,0
2004-04-14,878.5,891.65,873.41,891.39,0
2004-04-15,891.65,892.92,877.21,890.09,0
2004-04-16,889.92,901.6,881.19,896.7,0
2004-04-19,898.97,899.12,883.48,895.2,0
2004-04-20,889.92,897.94,864.54,882.78,0
2004-04-21,882.75,884.37,861.33,879.84,0
2004-04-22,879.89,887.97,870.1,886.63,0
2004-04-23,886.74,887.28,861.48,880.44,0
2004-04-26,881.1,881.86,864.99,872.97,0
2004-04-27,872.91,888.87,871.32,887.88,0
2004-04-28,888.0,890.95,874.28,876.59,0
2004-04-29,876.42,906.96,876.11,905.1,0
2004-04-30,904.6,909.88,894.34,898.14,0
2004-05-03,897.85,897.91,890.8,891.29,0
2004-05-04,891.29,916.1,888.14,915.05,0
2004-05-05,915.52,917.76,903.77,915.44,0
2004-05-06,915.85,916.18,906.06,907.61,0
2004-05-07,907.61,913.56,866.97,890.75,0
2004-05-10,890.2,907.66,890.15,906.89,0
2004-05-11,906.95,916.25,898.78,915.21,0
2004-05-12,915.42,915.59,898.52,903.52,0
2004-05-13,903.05,917.29,900.52,909.68,0
2004-05-14,909.73,916.41,892.79,915.43,0
2004-05-17,915.19,927.13,909.82,925.63,0
2004-05-18,924.96,926.86,911.67,922.61,0
2004-05-19,922.67,922.67,903.81,917.68,0
2004-05-20,917.53,919.29,911.89,913.63,0
2004-05-21,913.24,921.3,908.47,917.75,0
2004-05-24,916.75,923.1,904.59,921.7,0
2004-05-25,921.49,929.37,912.79,926.76,0
2004-05-26,926.79,930.97,916.1,927.57,0
2004-05-27,927.36,939.86,913.28,939.74,0
2004-05-28,939.52,939.8,922.2,929.51,0
2004-05-31,930.42,931.16,923.66,925.46,0
2004-06-01,925.43,931.0,915.0,929.19,0
2004-06-02,929.31,938.13,928.13,932.49,0
2004-06-03,932.43,934.21,926.69,930.97,0
2004-06-04,931.03,940.17,886.05,939.65,0
2004-06-07,937.14,937.69,934.22,936.18,0
2004-06-08,936.06,939.32,928.34,930.27,0
2004-06-09,930.48,931.72,918.58,919.22,0
2004-06-10,919.28,931.92,918.98,930.88,0
2004-06-11,930.91,932.3,914.19,924.24,0
2004-06-14,925.57,927.09,914.95,926.3,0
2004-06-15,926.57,931.78,914.85,931.32,0
2004-06-16,931.32,932.85,910.69,912.32,0
2004-06-17,912.41,927.96,912.38,926.66,0
2004-06-18,926.82,933.36,909.6,931.82,0
2004-06-21,928.76,930.42,917.31,926.78,0
2004-06-22,926.6,928.36,915.93,924.68,0
