Date,Open,High,Low,Close,Volume
2004-01-01,153.47,153.61,152.19,152.2,0
2004-01-02,152.21,154.03,152.05,153.91,0
2004-01-05,153.34,153.77,151.81,151.86,0
2004-01-06,151.86,153.25,151.01,153.2,0
2004-01-07,153.2,153.5,151.14,151.59,0
2004-01-08,151.65,152.42,149.14,150.84,0
2004-01-09,150.82,152.79,149.1,152.18,0
2004-01-12,152.27,152.49,149.63,150.55,0
2004-01-13,150.53,152.17,150.22,151.34,0
2004-01-14,151.42,153.9,148.89,151.38,0
2004-01-15,151.42,152.9,151.02,151.28,0
2004-01-16,151.28,153.19,151.0,152.8,0
2004-01-19,152.96,153.2,150.87,152.9,0
2004-01-20,152.96,153.09,151.18,151.49,0
2004-01-21,151.52,153.07,151.27,152.49,0
2004-01-22,152.49,153.22,151.23,152.92,0
2004-01-23,152.91,153.07,150.85,150.99,0
2004-01-26,152.83,152.99,150.29,151.26,0
2004-01-27,151.3,151.92,149.76,150.42,0
2004-01-28,150.42,151.69,148.99,151.41,0
2004-01-29,151.43,151.43,148.89,149.0,0
2004-01-30,149.01,151.44,147.76,149.3,0
2004-02-02,150.51,150.7,148.73,148.94,0
2004-02-03,150.34,150.82,148.55,150.53,0
2004-02-04,150.4,150.82,148.55,150.31,0
2004-02-05,150.34,150.54,148.31,148.93,0
2004-02-06,148.92,150.65,148.46,150.18,0
2004-02-09,150.71,150.72,148.3,148.39,0
2004-02-10,148.42,150.19,147.82,150.05,0
2004-02-11,150.02,150.07,147.73,149.4,0
2004-02-12,149.41,149.6,147.63,149.2,0
2004-02-13,149.2,149.41,147.37,149.16,0
2004-02-16,149.21,149.31,147.52,147.71,0
2004-02-17,147.72,149.19,147.38,148.94,0
2004-02-18,148.48,148.55,146.55,147.7,0
2004-02-19,147.63,149.77,147.47,147.56,0
2004-02-20,147.54,150.24,147.5,148.92,0
2004-02-23,150.86,152.26,150.05,151.66,0
2004-02-24,151.67,152.18,149.39,151.71,0
2004-02-25,151.72,151.75,148.74,148.9,0
2004-02-26,148.91,151.24,148.73,149.76,0
2004-02-27,149.79,151.28,149.13,150.63,0
2004-03-01,150.17,151.5,149.77,151.22,0
2004-03-02,151.2,151.37,147.5,149.34,0
2004-03-03,149.35,151.42,148.11,148.47,0
2004-03-04,148.45,150.37,148.37,148.86,0
2004-03-05,148.85,151.08,147.34,151.02,0
2004-03-08,150.96,151.23,148.43,148.43,0
2004-03-09,148.47,152.03,148.06,151.61,0
2004-03-10,148.47,152.03,148.06,148.7,0
2004-03-11,148.69,150.2,148.06,149.06,0
2004-03-12,149.06,151.56,148.99,151.02,0
2004-03-15,151.11,151.18,148.56,150.15,0
2004-03-16,150.18,150.49,148.12,150.3,0
2004-03-17,150.36,150.77,147.68,150.76,0
2004-03-18,150.76,150.76,146.76,148.75,0
2004-03-19,148.76,150.21,146.68,150.21,0
2004-03-22,150.08,150.71,147.14,149.22,0
2004-03-23,149.22,149.5,147.39,149.24,0
2004-03-24,149.24,152.03,147.02,151.73,0
2004-03-25,151.74,151.95,146.64,151.78,0
2004-03-26,151.78,151.88,146.24,151.88,0
2004-03-29,151.99,152.49,146.32,151.4,0
2004-03-30,151.45,151.52,146.22,151.19,0
2004-03-31,151.2,151.3,145.38,149.7,0
2004-04-01,149.7,150.21,144.76,149.14,0
2004-04-02,149.11,152.12,141.77,152.04,0
2004-04-05,152.2,153.61,144.98,153.47,0
2004-04-06,153.47,153.68,145.73,151.85,0
2004-04-07,151.85,152.53,144.85,145.22,0
2004-04-08,145.23,145.65,144.51,145.5,0
2004-04-09,145.5,145.61,145.12,145.43,0
2004-04-12,145.43,145.43,145.43,145.43,0
2004-04-13,145.43,147.32,144.55,146.53,0
2004-04-14,146.62,148.59,145.83,148.53,0
2004-04-15,148.56,148.94,146.25,147.74,0
2004-04-16,147.72,149.11,146.92,148.87,0
2004-04-19,148.73,148.91,146.19,148.25,0
2004-04-20,147.72,148.97,144.45,148.69,0
2004-04-21,148.69,148.97,144.67,148.58,0
2004-04-22,148.52,149.12,146.82,148.65,0
2004-04-23,148.68,149.09,145.29,148.38,0
2004-04-26,149.08,149.46,146.06,146.36,0
2004-04-27,146.36,147.87,145.82,147.75,0
2004-04-28,147.79,148.33,146.42,146.74,0
