Date,Open,High,Low,Close,Volume
2004-01-01,26.121,26.141,25.91,25.905,0
2004-01-02,25.905,26.226,25.872,26.199,0
2004-01-05,26.086,26.184,25.828,25.885,0
2004-01-06,25.879,26.073,25.69,26.06,0
2004-01-07,26.062,26.117,25.721,25.878,0
2004-01-08,25.881,26.019,25.435,25.702,0
2004-01-09,25.702,26.083,25.471,25.934,0
2004-01-12,25.934,25.945,25.569,25.728,0
2004-01-13,25.728,26.021,25.675,25.893,0
2004-01-14,25.893,26.282,25.459,25.88,0
2004-01-15,25.88,26.137,25.81,25.841,0
2004-01-16,25.841,26.188,25.809,26.116,0
2004-01-19,26.109,26.179,25.8,26.146,0
2004-01-20,26.146,26.176,25.865,25.905,0
2004-01-21,25.905,26.191,25.869,26.072,0
2004-01-22,26.072,26.208,25.863,26.155,0
2004-01-23,26.155,26.184,25.804,25.907,0
2004-01-26,26.083,26.083,25.745,25.916,0
2004-01-27,25.916,26.02,25.648,25.75,0
2004-01-28,25.75,25.969,25.514,25.937,0
2004-01-29,25.937,25.937,25.521,25.535,0
2004-01-30,25.535,25.988,25.353,25.719,0
2004-02-02,25.938,25.938,25.555,25.6,0
2004-02-03,25.808,25.89,25.509,25.84,0
2004-02-04,25.811,25.89,25.509,25.808,0
2004-02-05,25.808,25.839,25.467,25.588,0
2004-02-06,25.588,25.878,25.501,25.78,0
2004-02-09,25.889,25.889,25.441,25.469,0
2004-02-10,25.469,25.769,25.362,25.743,0
2004-02-11,25.743,25.752,25.351,25.639,0
2004-02-12,25.639,25.674,25.336,25.612,0
2004-02-13,25.612,25.678,25.262,25.52,0
2004-02-16,25.505,25.628,25.313,25.353,0
2004-02-17,25.353,25.602,25.283,25.563,0
2004-02-18,25.474,25.509,25.162,25.37,0
2004-02-19,25.37,25.715,25.315,25.342,0
2004-02-20,25.342,25.806,25.324,25.625,0
2004-02-23,25.855,26.156,25.762,26.063,0
2004-02-24,26.063,26.148,25.667,26.047,0
2004-02-25,26.047,26.06,25.564,25.599,0
2004-02-26,25.599,26.018,25.562,25.763,0
2004-02-27,25.763,26.022,25.657,25.93,0
2004-03-01,26.019,26.068,25.765,26.013,0
2004-03-02,26.005,26.036,25.38,25.692,0
2004-03-03,25.692,26.056,25.508,25.566,0
2004-03-04,25.566,25.903,25.513,25.598,0
2004-03-05,25.598,25.979,25.324,25.885,0
2004-03-08,25.861,26.014,25.555,25.555,0
2004-03-09,25.555,26.201,25.491,26.131,0
2004-03-10,25.555,26.201,25.384,25.645,0
2004-03-11,25.645,25.868,25.492,25.669,0
2004-03-12,25.669,26.107,25.658,26.008,0
2004-03-15,26.008,26.031,25.567,25.855,0
2004-03-16,25.855,25.912,25.518,25.879,0
2004-03-17,25.879,25.957,25.428,25.957,0
2004-03-18,25.957,25.957,25.276,25.631,0
2004-03-19,25.631,25.943,25.304,25.876,0
2004-03-22,25.881,25.988,25.394,25.755,0
2004-03-23,25.755,25.919,25.583,25.909,0
2004-03-24,25.909,26.486,25.59,26.432,0
2004-03-25,26.432,26.471,25.552,26.439,0
2004-03-26,26.444,26.547,25.565,26.55,0
2004-03-29,26.492,26.809,25.603,26.792,0
2004-03-30,26.785,26.851,25.883,26.836,0
2004-03-31,26.836,26.874,25.919,26.874,0
2004-04-01,26.865,26.956,25.945,26.733,0
2004-04-02,26.733,27.061,25.214,27.046,0
2004-04-05,27.05,27.407,25.819,27.379,0
2004-04-06,27.379,27.433,25.952,27.071,0
2004-04-07,27.071,27.196,25.924,26.042,0
2004-04-08,26.048,26.051,25.839,26.007,0
2004-04-09,26.007,26.031,25.935,25.996,0
2004-04-12,25.991,25.991,25.991,25.991,0
2004-04-13,25.991,26.326,25.758,26.116,0
2004-04-14,26.131,26.492,26.011,26.471,0
2004-04-15,26.471,26.546,25.961,26.249,0
2004-04-16,26.249,26.651,26.119,26.477,0
2004-04-19,26.51,26.51,25.973,26.352,0
2004-04-20,26.249,26.46,25.588,26.395,0
2004-04-21,26.395,26.434,25.615,26.29,0
2004-04-22,26.295,26.415,25.967,26.343,0
2004-04-23,26.343,26.408,25.639,26.071,0
2004-04-26,26.21,26.228,25.835,25.889,0
2004-04-27,25.889,26.137,25.753,26.11,0
2004-04-28,26.11,26.22,25.853,25.9,0
2004-04-29,25.903,26.492,25.804,26.343,0
2004-04-30,26.346,26.47,26.098,26.203,0
2004-05-03,26.192,26.255,25.996,26.144,0
2004-05-04,26.141,26.278,25.651,26.138,0
2004-05-05,26.138,26.218,25.788,26.156,0
2004-05-06,26.156,26.19,25.881,26.092,0
2004-05-07,26.092,26.342,25.046,26.0,0
2004-05-10,26.0,26.233,25.863,26.158,0
2004-05-11,26.158,26.37,25.88,26.192,0
2004-05-12,26.192,26.281,25.695,25.729,0
2004-05-13,25.729,26.358,25.683,26.229,0
2004-05-14,26.229,26.328,25.512,26.12,0
2004-05-17,26.092,26.092,25.45,25.941,0
2004-05-18,25.941,26.087,25.693,26.053,0
2004-05-19,26.053,26.057,25.615,25.977,0
2004-05-20,25.977,26.128,25.943,25.976,0
2004-05-21,25.976,26.072,25.605,25.902,0
2004-05-24,25.865,26.065,25.663,26.051,0
2004-05-25,26.051,26.076,25.669,26.016,0
2004-05-26,26.016,26.016,25.679,25.998,0
2004-05-27,25.998,25.998,25.434,25.765,0
