Date,Open,High,Low,Close,Volume
2004-01-01,30.194,30.194,29.925,30.078,0
2004-01-02,30.078,30.24,29.769,30.203,0
2004-01-05,30.203,30.342,30.203,30.342,0
2004-01-06,30.391,30.391,30.263,30.263,0
2004-01-07,30.263,30.433,30.027,30.135,0
2004-01-08,30.135,30.341,29.696,30.039,0
2004-01-09,30.039,30.578,29.674,30.296,0
2004-01-12,30.294,30.37,29.805,29.907,0
2004-01-13,29.907,30.398,29.907,30.308,0
2004-01-14,30.308,30.333,29.634,30.003,0
2004-01-15,30.003,30.425,29.347,30.107,0
2004-01-16,30.107,30.498,30.027,30.334,0
2004-01-19,30.356,30.46,29.562,30.349,0
2004-01-20,30.349,30.425,29.94,30.119,0
2004-01-21,30.119,30.466,30.09,30.44,0
2004-01-22,30.44,30.508,29.914,30.44,0
2004-01-23,30.44,30.452,29.774,29.946,0
2004-01-26,30.232,30.327,29.57,29.711,0
2004-01-27,29.711,30.158,29.698,29.843,0
2004-01-28,29.843,30.0,29.524,29.982,0
2004-01-29,29.982,29.982,29.501,29.577,0
2004-01-30,29.577,29.974,29.285,29.594,0
2004-02-02,29.887,29.887,29.407,29.546,0
2004-02-03,29.915,29.94,29.566,29.891,0
2004-02-04,29.891,29.94,29.566,29.915,0
2004-02-05,29.915,29.915,29.546,29.594,0
2004-02-06,29.594,29.965,29.504,29.905,0
2004-02-09,29.905,29.905,29.557,29.59,0
2004-02-10,29.59,29.87,29.501,29.829,0
2004-02-11,29.829,29.841,29.464,29.841,0
2004-02-12,29.841,29.876,29.525,29.865,0
2004-02-13,29.865,29.865,29.453,29.754,0
2004-02-16,29.735,29.751,29.431,29.462,0
2004-02-17,29.462,29.707,29.337,29.68,0
2004-02-18,29.554,29.597,29.195,29.195,0
2004-02-19,29.195,29.77,29.195,29.422,0
2004-02-20,29.422,29.841,29.422,29.475,0
2004-02-23,29.782,30.084,29.702,30.037,0
2004-02-24,30.037,30.096,29.616,30.063,0
2004-02-25,30.063,30.063,29.494,29.494,0
2004-02-26,29.494,29.938,29.417,29.65,0
2004-02-27,29.65,29.975,29.57,29.975,0
2004-03-01,29.975,30.029,29.671,30.011,0
2004-03-02,30.011,30.011,29.206,29.527,0
2004-03-03,29.527,29.889,29.359,29.509,0
2004-03-04,29.509,29.688,29.245,29.273,0
2004-03-05,29.273,29.81,29.148,29.779,0
2004-03-08,29.792,29.792,29.401,29.462,0
2004-03-09,29.462,29.862,29.404,29.707,0
2004-03-10,29.462,29.862,29.364,29.41,0
2004-03-11,29.41,29.703,29.269,29.68,0
