Date,Open,High,Low,Close,Volume
2004-01-01,35.301,35.31,34.986,34.986,0
2004-01-02,34.986,35.397,34.731,35.145,0
2004-01-05,35.145,35.329,34.752,34.807,0
2004-01-06,34.807,35.217,34.71,35.097,0
2004-01-07,35.097,35.169,34.494,34.765,0
2004-01-08,34.765,35.169,34.363,35.169,0
2004-01-09,35.169,35.505,34.459,35.269,0
2004-01-12,35.269,35.269,34.277,34.367,0
2004-01-13,34.367,35.123,34.298,35.027,0
2004-01-14,35.027,35.137,34.217,34.826,0
2004-01-15,34.826,35.199,34.674,34.769,0
2004-01-16,34.769,35.201,34.435,34.954,0
2004-01-19,34.954,35.25,34.388,35.25,0
2004-01-20,35.25,35.541,34.917,35.125,0
2004-01-21,35.125,35.654,34.856,35.301,0
2004-01-22,35.301,35.475,34.906,35.387,0
2004-01-23,35.387,35.387,34.551,34.551,0
2004-01-26,34.88,35.049,34.221,34.624,0
2004-01-27,34.624,35.479,34.244,35.259,0
2004-01-28,35.259,35.369,34.642,34.822,0
2004-01-29,34.822,35.112,34.468,34.531,0
2004-01-30,34.531,35.369,34.475,34.998,0
2004-02-02,35.332,35.332,34.698,34.706,0
2004-02-03,35.116,35.116,34.632,35.084,0
2004-02-04,35.084,35.116,34.632,35.116,0
2004-02-05,35.116,35.116,34.665,34.765,0
2004-02-06,34.765,35.565,34.576,35.565,0
2004-02-09,35.565,35.687,34.554,34.599,0
2004-02-10,34.599,35.124,34.523,34.886,0
2004-02-11,34.886,35.476,34.31,35.476,0
2004-02-12,35.476,35.49,34.638,35.001,0
2004-02-13,35.001,35.037,34.382,34.761,0
2004-02-16,34.761,35.018,34.422,34.727,0
2004-02-17,34.727,35.355,34.507,34.932,0
2004-02-18,34.836,34.946,34.284,34.298,0
2004-02-19,34.298,35.085,34.298,34.733,0
2004-02-20,34.733,35.263,34.636,34.678,0
2004-02-23,35.038,35.492,34.914,35.463,0
2004-02-24,35.463,35.684,34.891,35.646,0
2004-02-25,35.646,35.646,34.453,34.453,0
2004-02-26,34.453,35.415,34.251,35.062,0
2004-02-27,35.062,35.41,34.815,35.403,0
2004-03-01,35.403,35.69,34.908,35.223,0
2004-03-02,35.223,35.223,34.069,34.362,0
2004-03-03,34.362,35.361,34.166,34.8,0
2004-03-04,34.8,35.336,34.517,34.758,0
2004-03-05,34.758,35.693,34.638,35.668,0
2004-03-08,35.668,35.668,34.699,34.755,0
2004-03-09,34.755,35.394,34.752,35.27,0
2004-03-10,34.755,35.394,34.258,34.529,0
2004-03-11,34.529,35.15,34.3,35.128,0
2004-03-12,35.128,35.515,34.75,35.144,0
2004-03-15,35.144,35.312,34.536,34.967,0
2004-03-16,34.967,34.967,34.464,34.847,0
2004-03-17,34.847,35.201,34.146,35.201,0
2004-03-18,35.201,35.236,34.482,35.221,0
2004-03-19,35.221,35.288,34.235,34.978,0
2004-03-22,34.978,34.999,34.279,34.95,0
2004-03-23,34.95,35.092,34.395,35.092,0
2004-03-24,35.092,35.265,34.363,35.265,0
2004-03-25,35.265,35.589,34.046,35.589,0
2004-03-26,35.589,35.589,34.178,35.46,0
2004-03-29,35.46,35.692,34.027,35.692,0
2004-03-30,35.692,35.692,34.317,35.453,0
