Date,Open,High,Low,Close,Volume
2004-01-01,1191.5,1192.6,1181.5,1181.6,0
2004-01-02,1181.7,1195.8,1180.4,1195.8,0
2004-01-05,1190.4,1193.8,1178.6,1178.9,0
2004-01-06,1179.0,1189.7,1172.7,1189.4,0
2004-01-07,1189.3,1191.5,1173.3,1176.8,0
2004-01-08,1177.2,1183.2,1169.1,1171.0,0
2004-01-09,1170.9,1186.0,1157.7,1181.3,0
2004-01-12,1182.2,1183.9,1161.7,1168.8,0
2004-01-13,1168.5,1181.3,1166.2,1175.3,0
2004-01-14,1175.7,1195.1,1156.0,1175.2,0
2004-01-15,1175.5,1186.9,1172.5,1174.5,0
2004-01-16,1174.4,1189.9,1173.2,1186.7,0
2004-01-19,1187.6,1189.6,1171.9,1187.5,0
2004-01-20,1187.7,1188.9,1174.8,1176.7,0
2004-01-21,1177.2,1189.4,1175.1,1184.2,0
2004-01-22,1184.3,1189.9,1174.5,1187.7,0
2004-01-23,1187.7,1188.8,1171.4,1175.2,0
2004-01-26,1187.1,1188.1,1167.6,1174.5,0
2004-01-27,1174.6,1179.6,1162.8,1167.8,0
2004-01-28,1168.0,1178.3,1157.2,1176.4,0
2004-01-29,1176.3,1176.3,1157.4,1158.2,0
2004-01-30,1158.4,1177.2,1149.1,1160.0,0
2004-02-02,1170.3,1171.9,1156.4,1158.4,0
2004-02-03,1169.1,1172.6,1155.2,1170.3,0
2004-02-04,1169.4,1172.6,1155.2,1168.9,0
2004-02-05,1169.1,1170.5,1153.0,1157.7,0
2004-02-06,1157.7,1171.2,1153.9,1167.3,0
2004-02-09,1171.6,1171.6,1152.1,1152.8,0
2004-02-10,1153.0,1166.6,1148.3,1165.6,0
2004-02-11,1165.5,1166.0,1148.0,1160.9,0
2004-02-12,1160.8,1162.0,1147.1,1159.2,0
2004-02-13,1159.2,1161.0,1145.3,1159.7,0
2004-02-16,1159.3,1160.3,1146.1,1147.7,0
2004-02-17,1147.7,1159.3,1145.0,1156.9,0
2004-02-18,1153.8,1154.3,1138.9,1147.7,0
2004-02-19,1147.4,1164.0,1146.1,1147.0,0
2004-02-20,1146.9,1167.8,1146.7,1157.5,0
2004-02-23,1172.7,1183.8,1166.7,1179.4,0
2004-02-24,1179.4,1183.5,1162.0,1180.1,0
2004-02-25,1180.0,1180.4,1157.3,1158.8,0
2004-02-26,1158.7,1177.4,1157.3,1165.8,0
2004-02-27,1165.9,1177.5,1160.9,1172.8,0
2004-03-01,1168.9,1179.3,1165.8,1176.9,0
2004-03-02,1176.7,1178.3,1160.0,1163.0,0
2004-03-03,1162.7,1179.2,1153.9,1156.6,0
2004-03-04,1156.7,1171.7,1156.2,1160.0,0
2004-03-05,1159.9,1176.2,1157.8,1175.7,0
2004-03-08,1175.8,1177.8,1156.3,1156.6,0
2004-03-09,1156.5,1184.3,1153.6,1181.4,0
2004-03-10,1156.5,1184.3,1153.6,1158.9,0
2004-03-11,1158.8,1170.6,1154.0,1162.0,0
2004-03-12,1162.1,1181.3,1161.5,1177.0,0
2004-03-15,1177.5,1178.1,1157.8,1170.4,0
2004-03-16,1160.1,1171.6,1154.0,1171.4,0
2004-03-17,1171.7,1174.7,1150.5,1174.5,0
2004-03-18,1174.4,1174.6,1142.0,1159.3,0
2004-03-19,1159.1,1170.5,1143.0,1170.5,0
2004-03-22,1169.7,1174.5,1144.6,1163.1,0
2004-03-23,1163.2,1165.2,1145.2,1163.3,0
2004-03-24,1163.3,1185.7,1145.6,1182.8,0
2004-03-25,1182.9,1184.9,1143.2,1183.5,0
2004-03-26,1183.5,1184.3,1140.2,1184.3,0
2004-03-29,1185.3,1189.0,1140.9,1180.2,0
2004-03-30,1180.5,1181.5,1139.9,1178.7,0
2004-03-31,1179.0,1179.5,1133.1,1166.3,0
2004-04-01,1166.4,1170.4,1127.6,1161.5,0
2004-04-02,1161.3,1184.7,1128.0,1184.1,0
2004-04-05,1185.3,1196.4,1129.3,1195.4,0
2004-04-06,1195.0,1197.4,1136.1,1183.8,0
2004-04-07,1183.9,1189.0,1129.0,1131.9,0
2004-04-08,1132.1,1142.5,1126.6,1134.5,0
2004-04-09,1134.3,1135.2,1130.7,1133.7,0
2004-04-12,1133.2,1136.3,1132.5,1135.0,0
2004-04-13,1135.1,1149.2,1127.1,1142.2,0
2004-04-14,1142.8,1158.6,1137.7,1158.3,0
2004-04-15,1158.4,1161.3,1140.6,1152.2,0
2004-04-16,1152.0,1162.9,1146.4,1161.0,0
2004-04-19,1159.8,1161.1,1140.0,1155.9,0
2004-04-20,1152.0,1161.8,1137.6,1159.6,0
2004-04-21,1159.7,1161.9,1128.6,1158.6,0
2004-04-22,1158.4,1163.2,1145.0,1159.3,0
2004-04-23,1159.6,1162.8,1144.3,1156.7,0
2004-04-26,1162.4,1165.7,1139.2,1141.5,0
2004-04-27,1141.5,1153.3,1137.6,1152.5,0
2004-04-28,1153.0,1156.8,1142.8,1144.5,0
2004-04-29,1144.6,1171.3,1144.6,1169.6,0
2004-04-30,1169.8,1174.5,1158.7,1162.7,0
2004-05-03,1161.7,1170.3,1155.9,1160.1,0
2004-05-04,1160.1,1174.5,1150.7,1172.4,0
2004-05-05,1172.4,1172.4,1152.7,1167.8,0
2004-05-06,1167.6,1169.6,1156.3,1165.8,0
2004-05-07,1166.0,1177.6,1145.3,1159.8,0
2004-05-10,1158.1,1188.0,1158.1,1178.5,0
2004-05-11,1178.4,1188.6,1174.3,1185.3,0
2004-05-12,1185.4,1189.5,1166.4,1168.5,0
2004-05-13,1168.1,1187.5,1165.9,1186.7,0
2004-05-14,1186.7,1191.4,1172.5,1186.4,0
2004-05-17,1185.3,1186.7,1168.9,1180.1,0
2004-05-18,1180.1,1185.3,1168.4,1183.7,0
2004-05-19,1183.5,1184.0,1158.6,1173.6,0
2004-05-20,1173.8,1182.2,1172.6,1174.0,0
2004-05-21,1174.0,1178.4,1161.8,1172.7,0
2004-05-24,1173.9,1179.5,1162.9,1179.4,0
2004-05-25,1179.5,1180.5,1164.0,1179.9,0
2004-05-26,1179.9,1180.2,1165.1,1179.3,0
2004-05-27,1179.2,1181.1,1156.1,1168.9,0
2004-05-28,1169.5,1170.2,1151.1,1163.7,0
2004-05-31,1162.1,1166.9,1158.4,1159.4,0
2004-06-01,1159.5,1163.1,1146.6,1158.0,0
2004-06-02,1158.1,1166.5,1155.6,1165.8,0
2004-06-03,1165.6,1168.8,1160.5,1163.8,0
2004-06-04,1163.8,1165.9,1102.5,1164.7,0
2004-06-07,1158.8,1159.9,1156.35,1157.2,0
2004-06-08,1157.3,1160.7,1150.6,1151.9,0
2004-06-09,1151.8,1155.8,1147.3,1154.3,0
2004-06-10,1154.1,1160.3,1152.9,1159.3,0
2004-06-11,1159.4,1166.3,1146.8,1163.9,0
2004-06-14,1169.7,1170.7,1150.0,1163.0,0
2004-06-15,1163.2,1164.6,1148.1,1162.5,0
2004-06-16,1162.5,1164.8,1149.6,1156.9,0
2004-06-17,1156.8,1162.7,1146.5,1162.6,0
2004-06-18,1162.6,1166.0,1149.8,1158.7,0
2004-06-21,1156.3,1158.6,1144.1,1154.3,0
2004-06-22,1154.3,1158.8,1146.7,1154.3,0
2004-06-23,1154.4,1161.2,1152.1,1158.8,0
2004-06-24,1158.8,1163.0,1149.3,1151.2,0
2004-06-25,1151.5,1154.0,1140.1,1143.7,0
2004-06-28,1150.0,1153.2,1137.3,1151.9,0
2004-06-29,1151.8,1153.4,1139.6,1150.3,0
2004-06-30,1150.4,1157.3,1136.0,1155.7,0
2004-07-01,1155.8,1157.7,1140.2,1152.9,0
2004-07-02,1152.8,1156.3,1149.05,1154.3,0
2004-07-05,1150.4,1153.7,1143.0,1151.8,0
2004-07-06,1151.7,1157.0,1144.4,1157.0,0
2004-07-07,1156.9,1157.6,1135.3,1150.5,0
2004-07-08,1150.6,1152.3,1138.3,1149.6,0
2004-07-09,1149.6,1151.1,1140.0,1148.1,0
2004-07-12,1149.5,1151.8,1133.6,1146.9,0
2004-07-13,1147.0,1151.1,1135.5,1149.1,0
2004-07-14,1149.1,1153.7,1135.4,1153.4,0
2004-07-15,1153.6,1163.8,1152.9,1161.8,0
2004-07-16,1161.7,1166.0,1160.4,1163.7,0
2004-07-19,1146.5,1158.7,1145.9,1156.6,0
2004-07-20,1156.7,1164.6,1148.6,1160.5,0
2004-07-21,1160.4,1163.1,1145.4,1160.5,0
2004-07-22,1160.7,1164.3,1152.4,1161.3,0
2004-07-23,1161.3,1167.6,1156.2,1166.5,0
2004-07-26,1158.7,1167.4,1129.2,1161.2,0
2004-07-27,1161.4,1166.2,1149.4,1161.1,0
2004-07-28,1161.2,1169.3,1153.7,1168.8,0
2004-07-29,1168.8,1169.3,1158.9,1168.0,0
2004-07-30,1168.0,1172.7,1120.7,1170.1,0
2004-08-02,1161.7,1166.2,1150.8,1165.5,0
2004-08-03,1165.4,1165.9,1148.7,1164.8,0
2004-08-04,1164.7,1168.9,1163.6,1163.8,0
2004-08-05,1163.7,1165.0,1160.95,1163.7,0
2004-08-06,1163.6,1165.6,1144.9,1152.0,0
2004-08-09,1160.9,1161.2,1144.9,1156.4,0
2004-08-10,1156.1,1157.1,1138.9,1153.9,0
2004-08-11,1153.9,1160.1,1147.1,1154.4,0
2004-08-12,1154.5,1163.3,1145.3,1158.5,0
2004-08-13,1158.6,1163.6,1148.4,1154.8,0
2004-08-16,1154.3,1159.9,1154.3,1158.5,0
2004-08-17,1158.5,1159.0,1124.0,1157.9,0
2004-08-18,1157.9,1158.7,1148.4,1156.9,0
2004-08-19,1157.0,1157.2,1140.9,1155.1,0
2004-08-20,1155.5,1156.3,1148.0,1151.8,0
2004-08-23,1154.9,1156.2,1139.3,1152.6,0
2004-08-24,1152.6,1156.0,1141.9,1153.3,0
2004-08-25,1153.0,1157.6,1153.0,1155.2,0
2004-08-26,1155.5,1156.7,1139.4,1153.7,0
2004-08-27,1153.6,1154.1,1138.4,1151.3,0
2004-08-30,1151.1,1155.0,1137.3,1152.7,0
2004-08-31,1152.7,1153.2,1137.3,1150.6,0
2004-09-01,1150.6,1151.6,1139.0,1147.8,0
2004-09-02,1147.7,1151.9,1147.0,1148.7,0
2004-09-03,1148.6,1151.2,1134.8,1151.2,0
2004-09-06,1148.8,1154.0,1139.6,1153.5,0
2004-09-07,1153.5,1154.4,1148.75,1151.3,0
